title,date,author,summary
NIH_Awards__7_5_Million_Grant_for_AgeneBio_HOPE4MCI_Phase_3_.html,,AGeneBio,"September 15, 2015
AGB101 and the HOPE4MCI Phase 3 Trial AGB101 is a proprietary once-a-day low-dose formulation of levetiracetam, an anti-epileptic treatment commercialized for more than a decade with a well-characterized safety profile at daily doses greater than twelve times the intended dose for AGB101. Phase 2 clinical results showed that AGB101 restored brain network function and significantly improved memory in elderly patients with aMCI. AgeneBio expects to initiate the HOPE4MCI Phase 3 "
AgeneBio_Announces_Additional_Funding_to_Advance_Novel_GABA-.html,,AGeneBio,"September 11, 2019
BALTIMORE, Sept. 11, 2019 /PRNewswire/ — Building on previous progress in the NIH Blueprint Neurotherapeutics program, AgeneBio today announced it has received significant additional resources to accelerate the development of their GABA-A a5  Positive Allosteric Modulation (PAM), a novel approach to mild cognitive impairment (MCI) due to Alzheimer’s Disease (AD) that targets hippocampal overactivity that leads to degeneration and cognitive decline in patients with MCI due to A"
AgeneBio_Founder_Michela_Gallagher_to_Speak_at_2018_NIH_Alzh.html,,AGeneBio,"February 28, 2018
Dr. Gallagher will discuss AgeneBio’s Phase 3 HOPE4MCI clinical trial for AGB101. AGB101 is the first and only therapeutic for mild cognitive impairment due to Alzheimer’s disease (MCI due to AD) targeting brain network imbalance and potentially the first therapeutic to slow progression to, and delay the onset of, Alzheimer’s dementia. MCI due to AD is an intermediate stage between normal cognition and Alzheimer’s dementia in which memory and cognitive abilities are markedly wo"
AgeneBio_CEO_Michela_Gallagher_and_Vice_President_of_Researc.html,,AGeneBio,"August 25, 2021
Integrating Biomarkers into Trial Design, Patient Selection & Outcome Measures: AgeneBio’s The Hope4MCI Trial
AgeneBio-Inc"
HOPE4MCI_Trial__First_Trial_Targeting_Reduction_of_Hippocamp.html,,AGeneBio,"July 27, 2020
Presentation at Alzheimer’s Association International Conference (AAIC)
AgeneBio-Inc"
AgeneBio_Announces_Completion_of_Patient_Enrollment_in_Phase.html,,AGeneBio,"April 29, 2021
BALTIMORE , April 21, 2021 — AgeneBio announced today that it has completed enrollment in a Phase 2B clinical trial evaluating the efficacy of AGB101, a once-a-day investigational medication to treat amnestic Mild Cognitive Impairment due to Alzheimer’s Disease (MCI due to AD). The clinical trial, known as “ HOPE4MCI ” (NCT03486938), is a 78-week study, randomized, double-blind, placebo controlled study that has enrolled 164 patients across 23 sites in the United States and Canada"
AgeneBio_Receives_Grant_from_Alzheimer_s_Drug_Discovery_Foun.html,,AGeneBio,"January 28, 2015
AGB101 is a proprietary formulation of low-dose levetiracetam, given to patients at approximately one-fifteenth of the dose most commonly prescribed for epilepsy. This therapeutic has been commercialized for more than a decade and offers a well-characterized safety profile at fifteen times the expected dose for AGB101. AgeneBio expects to initiate the AGB101 Phase 3 clinical program in the second half of 2015.
“The ADDF is thrilled to support AgeneBio to advance the clinical dev"
AgeneBio_Founder_Presents_at_Alzheimer_s_Association_Interna.html,,AGeneBio,"July 24, 2017
Founder and CSO Michela Gallagher, PhD co-chaired a featured symposium, “The Two-Way Street Linking B-Amyloid, Tau and Neural Activity” and presented “Age-Related Network Dysfunction: Contributions of Neural Activity to Risk for Late Onset Alzheimer’s Disease.”
Details available here .
AgeneBio-Inc"
Founder___CEO_Dr__Michela_Gallagher_Featured_in_Alzheimer_s_.html,,AGeneBio,"November 19, 2019
Watch video here .
AgeneBio-Inc"
AgeneBio_Believes_a_Switch_in_Research_Strategy_Can_Make_Alz.html,,AGeneBio,"January 29, 2019
Michela Gallagher, CEO of AgeneBio, and her staff have given themselves a big challenge – to develop the first and only therapeutic targeting brain network imbalance and potentially the first therapeutic to slow progression to and delay the onset of Alzheimer’s dementia, which is becoming a public health crisis.
Gallagher believes the biggest roadblock to finding an effective therapy has been the previous emphasis on treating later stage patients. Based on clinical research resu"
Richard_Mohs__AgeneBio_VP_for_Clinical_Development__Presents.html,,AGeneBio,"April 21, 2021
AgeneBio-Inc"
Dr__Sharon_Rosenzweig-Lipson__Vice_President_of_Research_and.html,,AGeneBio,"July 29, 2021
AgeneBio-Inc"
AgeneBio_Announces_Publication_of_Phase_2_Clinical_Trial_Res.html,,AGeneBio,"March 11, 2015
AgeneBio’s AGB101 is a proprietary once-a-day low-dose formulation of levetiracetam, an anti-epileptic commercialized for more than a decade with a well-characterized safety profile. AGB101 will be given to patients at approximately one-fifteenth of the dose most commonly prescribed for epilepsy. AgeneBio expects to initiate the AGB101 Phase 3 clinical program, the primary endpoint for which is aligned with recent US Food and Drug Administration guidance for aMCI trials, in the se"
AgeneBio_Presents_Pharmacokinetic_Profile_of_Proprietary__Ex.html,,AGeneBio,"November 6, 2015
The study showed that sustained plasma levels of levetiracetam consistent with AGB101 Phase 2 efficacy were observed over a 14-hour period. Further, the PK profile of AGB101 was consistent with an extended-release formulation suitable for once-daily dosing. Additionally, the study showed that there were no food effects on C max or AUC. The study authors concluded that the AGB101 low-dose, extended-release formulation of AGB101 is suitable for use in the upcoming HOPE4MCI Phase 3"
